data_provider,landing_page,comment
Hugging Face,https://huggingface.co/datasets?modality=modality:geospatial&sort=trending,
Zenodo,https://zenodo.org/communities/eu/records?q=geospatial%20%2Bremote%20sensing%20%2BEarth%20observation&f=access_status%3Aopen&f=resource_type%3Adataset&l=list&p=1&s=10&sort=bestmatch,
ESSD,https://essd.copernicus.org/articles/15/317/2023/,
ESSD,https://essd.copernicus.org/articles/16/4311/2024/,
ESSD,https://essd.copernicus.org/preprints/essd-2024-266/,
ESSD,https://essd.copernicus.org/preprints/essd-2024-331/,
ESSD,https://essd.copernicus.org/preprints/essd-2024-204/,
ESSD,https://essd.copernicus.org/preprints/essd-2024-140/,
ESSD,https://essd.copernicus.org/articles/16/2877/2024/,
ESSD,https://essd.copernicus.org/preprints/essd-2023-535/,
ESSD,https://essd.copernicus.org/articles/15/5449/2023/,
ESSD,https://essd.copernicus.org/articles/15/4105/2023/,
ESSD,https://essd.copernicus.org/articles/15/3941/2023/,
ESSD,https://essd.copernicus.org/articles/15/1/2023/,
ESSD,https://essd.copernicus.org/preprints/essd-2022-144/,
ESSD,https://essd.copernicus.org/articles/14/3743/2022/,
ESSD,https://essd.copernicus.org/articles/14/1869/2022/,
ESSD,https://essd.copernicus.org/articles/13/5389/2021/,
ESSD,https://essd.copernicus.org/articles/13/5191/2021/,
ESSD,https://essd.copernicus.org/articles/13/2135/2021/,
ESSD,https://essd.copernicus.org/articles/13/1135/2021/,
ESSD,https://essd.copernicus.org/articles/13/213/2021/,
ESSD,https://essd.copernicus.org/articles/12/215/2020/,
ESSD,https://essd.copernicus.org/articles/16/2877/2024/,
ESSD,https://essd.copernicus.org/articles/16/2099/2024/,
ESSD,https://essd.copernicus.org/articles/13/3869/2021/,
ESSD,https://essd.copernicus.org/articles/13/2573/2021/,
ESSD,https://essd.copernicus.org/articles/16/4529/2024/,
ESSD,https://essd.copernicus.org/articles/15/4613/2023/,
ESSD,https://essd.copernicus.org/articles/13/3733/2021/,
ESSD,https://essd.copernicus.org/preprints/essd-2024-206/,
ESSD,https://essd.copernicus.org/articles/15/317/2023/,
ESSD,https://essd.copernicus.org/articles/15/4927/2023/,
ESSD,https://essd.copernicus.org/articles/13/2723/2021/,
ESSD,https://essd.copernicus.org/articles/15/681/2023/,
ESSD,https://essd.copernicus.org/articles/16/4793/2024/,
ESSD,https://essd.copernicus.org/articles/15/113/2023/,
Source Cooperative,https://source.coop/repositories,"when you have looked into the datasets/providers above, you can scan this source and select datasets which compliment to the datasets you have seen until here"
